                     mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_round[51]        0.210  0.156  -0.011    0.508      0.016    0.012     127.0      44.0   1.06
mu_round[52]        0.208  0.156  -0.016    0.493      0.023    0.018      32.0      43.0   1.09
mu_round[53]        0.191  0.153  -0.048    0.433      0.015    0.011      70.0      96.0   1.09
mu_round[54]        0.195  0.143  -0.017    0.445      0.010    0.009     231.0     120.0   1.04
mu_round[55]        0.213  0.156  -0.003    0.493      0.015    0.012     124.0      50.0   1.05
mu_round[56]        0.189  0.149  -0.053    0.434      0.013    0.010     128.0      77.0   1.06
mu_round[57]        0.198  0.145  -0.043    0.443      0.009    0.008     336.0      96.0   1.04
mu_round[58]        0.216  0.170  -0.015    0.588      0.037    0.031      21.0      19.0   1.15
mu_round[59]        0.195  0.145  -0.022    0.436      0.011    0.010     151.0     101.0   1.04
mu_round[60]        0.246  0.045   0.168    0.327      0.008    0.006      33.0     480.0   1.08
mu_round[61]        0.183  0.164  -0.224    0.455      0.046    0.033      26.0      25.0   1.25
mu_round[62]        0.169  0.196  -0.396    0.380      0.062    0.045      24.0      12.0   1.25
mu_round[63]        0.196  0.127  -0.123    0.384      0.028    0.020      30.0      18.0   1.20
mu_round[64]        0.210  0.115   0.008    0.395      0.008    0.006     143.0      52.0   1.09
mu_round[65]        0.227  0.105   0.039    0.411      0.004    0.005     375.0     133.0   1.09
mu_round[66]        0.175  0.171  -0.311    0.366      0.053    0.039      23.0      14.0   1.26
mu_round[67]        0.187  0.162  -0.307    0.387      0.048    0.035      26.0      14.0   1.30
mu_round[68]        0.238  0.136   0.040    0.546      0.034    0.028      20.0      22.0   1.22
mu_round[69]        0.161  0.221  -0.534    0.366      0.077    0.056      24.0      12.0   1.25
mu_round[70]        0.195  0.138  -0.130    0.428      0.033    0.023      27.0      26.0   1.24
mu_round[71]        0.188  0.155  -0.156    0.459      0.044    0.032      24.0      14.0   1.24
mu_round[72]        0.193  0.137  -0.194    0.384      0.033    0.023      25.0      16.0   1.21
mu_round[73]        0.224  0.105   0.038    0.416      0.004    0.004     691.0     159.0   1.05
mu_round[74]        0.198  0.123  -0.076    0.377      0.021    0.015      33.0      37.0   1.18
mu_round[75]        0.179  0.193  -0.193    0.515      0.053    0.038      20.0      15.0   1.22
mu_round[76]        0.196  0.132  -0.029    0.413      0.006    0.006      86.0     292.0   1.07
mu_round[77]        0.166  0.168  -0.246    0.392      0.038    0.028      29.0      37.0   1.21
mu_round[78]        0.219  0.129   0.004    0.454      0.013    0.012      47.0     151.0   1.10
mu_round[79]        0.215  0.141  -0.007    0.483      0.020    0.016      39.0      51.0   1.13
mu_round[80]        0.213  0.141  -0.040    0.448      0.020    0.015      40.0      72.0   1.13
mu_round[81]        0.202  0.125  -0.015    0.438      0.005    0.005     293.0     350.0   1.05
mu_round[82]        0.201  0.127  -0.018    0.435      0.005    0.005     382.0     390.0   1.05
mu_round[83]        0.141  0.230  -0.509    0.424      0.070    0.051      26.0      13.0   1.23
mu_round[84]        0.217  0.138  -0.008    0.502      0.018    0.016      64.0      50.0   1.10
mu_round[85]        0.197  0.132  -0.028    0.430      0.008    0.006     181.0     143.0   1.06
mu_round[86]        0.234  0.169   0.016    0.659      0.046    0.037      21.0      16.0   1.19
mu_round[87]        0.217  0.137   0.015    0.546      0.022    0.017      38.0      28.0   1.10
mu_round[88]        0.183  0.159  -0.201    0.393      0.036    0.026      27.0      33.0   1.19
mu_round[89]        0.168  0.166  -0.178    0.425      0.033    0.024      35.0      24.0   1.20
mu_round[90]        0.199  0.132  -0.026    0.440      0.014    0.015      65.0     105.0   1.09
mu_round[91]        0.177  0.118  -0.040    0.398      0.004    0.005     428.0     311.0   1.03
mu_round[92]        0.214  0.169  -0.034    0.659      0.046    0.043      25.0      21.0   1.20
mu_round[93]        0.149  0.150  -0.188    0.365      0.033    0.024      26.0      32.0   1.18
mu_round[94]        0.185  0.129  -0.029    0.430      0.012    0.013      99.0     289.0   1.08
mu_round[95]        0.154  0.148  -0.168    0.380      0.035    0.025      25.0      22.0   1.15
mu_round[96]        0.189  0.122  -0.025    0.424      0.011    0.012      78.0     102.0   1.05
mu_round[97]        0.164  0.130  -0.111    0.369      0.021    0.015      36.0      29.0   1.07
mu_round[98]        0.176  0.120  -0.037    0.401      0.009    0.007      98.0     179.0   1.04
mu_round[99]        0.141  0.185  -0.344    0.411      0.058    0.042      20.0      13.0   1.20
mu_round[100]       0.180  0.123  -0.052    0.395      0.006    0.004     287.0     203.0   1.05
mu_round[101]       0.186  0.125  -0.062    0.401      0.005    0.008     285.0     286.0   1.04
mu_round[102]       0.210  0.160  -0.010    0.650      0.039    0.036      25.0      30.0   1.18
mu_round[103]       0.163  0.133  -0.101    0.378      0.024    0.017      34.0      47.0   1.09
mu_round[104]       0.131  0.185  -0.257    0.482      0.054    0.039      22.0      13.0   1.20
mu_round[105]       0.168  0.131  -0.030    0.415      0.008    0.007     200.0     189.0   1.04
mu_round[106]       0.158  0.138  -0.072    0.391      0.014    0.010      73.0     108.0   1.07
mu_round[107]       0.150  0.157  -0.212    0.372      0.037    0.027      26.0      40.0   1.18
mu_round[108]       0.183  0.125  -0.045    0.397      0.007    0.007     190.0     249.0   1.03
mu_round[109]       0.170  0.123  -0.031    0.401      0.007    0.005     119.0     236.0   1.04
mu_round[110]       0.195  0.142  -0.018    0.480      0.024    0.022      31.0      34.0   1.13
mu_round[111]       0.174  0.128  -0.035    0.410      0.007    0.005     252.0     242.0   1.03
mu_round[112]       0.173  0.130  -0.058    0.394      0.012    0.009      69.0     174.0   1.05
mu_round[113]       0.155  0.141  -0.108    0.406      0.022    0.016      38.0      31.0   1.10
mu_round[114]       0.153  0.150  -0.157    0.388      0.030    0.022      29.0      30.0   1.14
mu_round[115]       0.185  0.127  -0.055    0.395      0.006    0.007     367.0     199.0   1.04
mu_round[116]       0.191  0.133  -0.037    0.436      0.016    0.018      42.0     185.0   1.10
mu_round[117]       0.205  0.155  -0.009    0.603      0.035    0.034      25.0      26.0   1.16
mu_round[118]       0.169  0.125  -0.053    0.390      0.007    0.005     249.0     167.0   1.04
mu_round[119]       0.207  0.154  -0.019    0.541      0.031    0.029      25.0      18.0   1.14
mu_round[120]       0.137  0.060   0.047    0.263      0.010    0.008      35.0      49.0   1.09
mu_round[121]       0.179  0.135  -0.040    0.426      0.026    0.024      39.0      22.0   1.12
mu_round[122]       0.170  0.108  -0.022    0.363      0.006    0.007     208.0     151.0   1.05
mu_round[123]       0.162  0.119  -0.041    0.354      0.010    0.008     107.0      98.0   1.07
mu_round[124]       0.162  0.104  -0.025    0.353      0.004    0.005     328.0     193.0   1.04
mu_round[125]       0.184  0.119  -0.016    0.427      0.020    0.021      35.0      36.0   1.12
mu_round[126]       0.171  0.114  -0.042    0.369      0.011    0.013      79.0      87.0   1.05
mu_round[127]       0.174  0.123  -0.003    0.464      0.012    0.011     120.0      38.0   1.07
mu_round[128]       0.191  0.130  -0.008    0.461      0.027    0.028      25.0      23.0   1.17
mu_round[129]       0.196  0.137   0.007    0.533      0.032    0.031      25.0      21.0   1.20
mu_round[130]       0.145  0.116  -0.083    0.347      0.019    0.013      38.0      71.0   1.12
mu_round[131]       0.176  0.113  -0.021    0.363      0.013    0.013      53.0      62.0   1.07
mu_round[132]       0.162  0.116  -0.060    0.353      0.011    0.008      86.0      58.0   1.04
mu_round[133]       0.203  0.166   0.007    0.681      0.051    0.046      24.0      18.0   1.21
mu_round[134]       0.151  0.122  -0.131    0.350      0.017    0.012      55.0      39.0   1.08
mu_round[135]       0.283  0.053   0.182    0.376      0.010    0.008      29.0     309.0   1.09
mu_round[136]       0.256  0.104   0.088    0.440      0.004    0.004     335.0     152.0   1.08
mu_round[137]       0.249  0.106   0.073    0.450      0.003    0.004     319.0     114.0   1.07
mu_round[138]       0.224  0.141  -0.080    0.508      0.034    0.025      27.0      15.0   1.22
mu_round[139]       0.242  0.114   0.024    0.457      0.019    0.013      37.0      32.0   1.21
mu_round[140]       0.236  0.119  -0.017    0.417      0.025    0.018      29.0      27.0   1.19
mu_round[141]       0.261  0.104   0.079    0.454      0.003    0.006     395.0     161.0   1.08
mu_round[142]       0.223  0.135  -0.103    0.404      0.033    0.024      27.0      16.0   1.27
mu_round[143]       0.244  0.131   0.008    0.499      0.026    0.018      29.0      25.0   1.23
mu_round[144]       0.266  0.108   0.068    0.442      0.005    0.006     253.0     180.0   1.08
mu_round[145]       0.246  0.108   0.044    0.421      0.006    0.004     155.0     117.0   1.07
mu_round[146]       0.265  0.107   0.096    0.472      0.008    0.011     152.0     114.0   1.13
mu_round[147]       0.239  0.125  -0.022    0.470      0.020    0.014      36.0      45.0   1.18
mu_round[148]       0.214  0.161  -0.227    0.411      0.047    0.034      25.0      19.0   1.27
mu_round[149]       0.235  0.132  -0.041    0.453      0.031    0.022      27.0      22.0   1.20
mu_round[150]       0.271  0.184   0.024    0.738      0.058    0.050      18.0      13.0   1.26
mu_round[151]       0.245  0.140  -0.007    0.471      0.024    0.018      30.0     104.0   1.12
mu_round[152]       0.256  0.143   0.008    0.555      0.030    0.025      23.0      24.0   1.12
mu_round[153]       0.265  0.162   0.019    0.646      0.046    0.041      18.0      30.0   1.20
mu_round[154]       0.241  0.135   0.024    0.483      0.023    0.018      30.0     117.0   1.11
mu_round[155]       0.255  0.139   0.035    0.562      0.027    0.023      26.0      57.0   1.17
mu_round[156]       0.258  0.144   0.028    0.540      0.033    0.027      22.0      28.0   1.20
mu_round[157]       0.261  0.167   0.033    0.686      0.048    0.041      18.0      26.0   1.22
mu_round[158]       0.231  0.130   0.012    0.475      0.008    0.006     256.0     145.0   1.07
mu_round[159]       0.206  0.164  -0.183    0.450      0.039    0.028      31.0      22.0   1.21
mu_round[160]       0.232  0.125   0.015    0.466      0.007    0.005     410.0     128.0   1.06
mu_round[161]       0.226  0.132  -0.054    0.434      0.011    0.008     154.0      57.0   1.07
mu_round[162]       0.226  0.130  -0.037    0.437      0.010    0.007     157.0     113.0   1.10
mu_round[163]       0.234  0.127   0.007    0.468      0.006    0.004     598.0      89.0   1.05
mu_round[164]       0.250  0.132   0.036    0.550      0.020    0.017      42.0      61.0   1.09
mu_round[165]       0.213  0.161  -0.200    0.442      0.038    0.028      29.0      16.0   1.20
mu_round[166]       0.259  0.125   0.029    0.473      0.015    0.014      40.0     237.0   1.12
mu_round[167]       0.228  0.131  -0.003    0.444      0.009    0.006     174.0     150.0   1.07
mu_round[168]       0.232  0.136  -0.030    0.450      0.016    0.011      47.0      35.0   1.15
mu_round[169]       0.255  0.124   0.028    0.472      0.012    0.011      55.0     177.0   1.08
mu_round[170]       0.243  0.124   0.016    0.465      0.005    0.006     376.0     158.0   1.05
mu_round[171]       0.239  0.123   0.027    0.468      0.005    0.006     336.0     203.0   1.08
mu_round[172]       0.253  0.129   0.043    0.476      0.009    0.009     160.0     167.0   1.09
mu_round[173]       0.225  0.133  -0.008    0.446      0.016    0.011      45.0      47.0   1.13
mu_round[174]       0.239  0.123   0.029    0.472      0.005    0.005     674.0     196.0   1.05
mu_round[175]       0.246  0.123   0.018    0.467      0.005    0.007     284.0     223.0   1.05
mu_round[176]       0.274  0.148   0.070    0.601      0.037    0.032      23.0      44.0   1.22
mu_round[177]       0.234  0.126   0.007    0.457      0.007    0.006     151.0     148.0   1.07
mu_round[178]       0.255  0.123   0.013    0.463      0.006    0.007     250.0     133.0   1.06
mu_round[179]       0.276  0.172   0.075    0.725      0.052    0.044      19.0      23.0   1.24
mu_round[180]       0.179  0.059   0.072    0.299      0.005    0.003     149.0    1054.0   1.03
mu_round[181]       0.206  0.127  -0.021    0.435      0.015    0.015      86.0      47.0   1.11
mu_round[182]       0.200  0.116   0.002    0.410      0.015    0.015      40.0      99.0   1.11
mu_round[183]       0.190  0.109   0.008    0.401      0.006    0.007     223.0     180.0   1.05
